number,Latency (s),SP size(cm²),datetime_start,datetime_complete,duration,params_area,params_cap_size,user_attrs_Eb,user_attrs_Ec,user_attrs_Er,user_attrs_Ew,user_attrs_Lb,user_attrs_Lc,user_attrs_Lr,user_attrs_Lw,system_attrs_nsga2:generation,state,ckpt_energy,lat*sp,system_efficiency,cap_leakage
33,58.91,2.9999999999999996,2024-04-17 20:56:29.238310,2024-04-17 20:56:32.144392,0 days 00:00:02.906082,0.0003,0.0001,0.037849680000000004,0.009216708788118661,0.0067565351611538465,0.006892579023384617,34.02000000000001,1.8871995000000001,0.6592369982223846,0.5427895353901341,0,COMPLETE,0.05149879418453847,176.72999999999996,0.012951028671366487,5.3018999999999995e-05
0,23.92,5.999999999999999,2024-04-17 20:57:14.426476,2024-04-17 20:57:16.239617,0 days 00:00:01.813141,0.0006,0.0001,0.01760088,0.010047487218162269,0.0027712054362692314,0.0020492394032307695,15.82,2.0578095000000007,0.3393345562138846,0.20572598148863327,0,COMPLETE,0.0224213248395,143.51999999999998,0.006943306341973245,2.1528000000000005e-05
33,17.04,9.0,2024-04-17 20:59:48.549899,2024-04-17 20:59:49.841749,0 days 00:00:01.291850,0.0009,0.0001,0.012460800000000003,0.011401318605612441,0.0024933984147692306,0.002182326884769231,11.200000000000003,2.3358345000000007,0.2950154857713846,0.22070915646099395,0,COMPLETE,0.017136525299538463,153.35999999999999,0.00496624508767706,1.5336e-05
11,14.67,11.999999999999998,2024-04-17 21:00:31.812113,2024-04-17 21:00:33.256365,0 days 00:00:01.444252,0.0012,0.0001,0.01214928,0.009216708788118661,0.002021866252653846,0.0017874123140000006,10.920000000000002,1.8871995000000001,0.23882136292888465,0.18123162395106354,0,COMPLETE,0.015958558566653847,176.03999999999996,0.0040290233448594635,1.3203e-05
2,13.57,14.999999999999998,2024-04-17 21:01:31.418045,2024-04-17 21:01:32.892822,0 days 00:00:01.474777,0.0014999999999999998,0.0001,0.00911196,0.015104469267189799,0.0026672658338846153,0.0026054148692307693,8.190000000000001,3.0963195000000003,0.3104061458903846,0.2687407344587979,0,COMPLETE,0.014384640703115386,203.54999999999998,0.0031408369667546353,1.2213000000000001e-05
11,13.06,17.999999999999996,2024-04-17 21:03:26.733134,2024-04-17 21:03:28.704136,0 days 00:00:01.971002,0.0017999999999999997,0.0001,0.01035804,0.009220726091938988,0.002766132701538462,0.0027491847543076927,9.310000000000002,1.8880245000000002,0.29520899232838466,0.24755653804429842,0,COMPLETE,0.015873357455846157,235.07999999999996,0.0030010317917013897,1.1754000000000001e-05
41,13.64,21.0,2024-04-17 21:05:56.117075,2024-04-17 21:05:57.507567,0 days 00:00:01.390492,0.0021,0.0001,0.009423480000000001,0.012614544359351172,0.003409304699923077,0.0035830135395384616,8.47,2.584984500000001,0.35659961134238466,0.3234711408262639,0,COMPLETE,0.01641579823946154,286.44,0.002547098983608984,1.2276000000000002e-05
7,12.42,23.999999999999996,2024-04-17 21:06:19.714627,2024-04-17 21:06:20.776001,0 days 00:00:01.061374,0.0024,0.0001,0.00942348,0.010188896312637776,0.001895099144692308,0.0017900758944615388,8.470000000000002,2.0868495000000005,0.22316865257438465,0.18594562973585135,0,COMPLETE,0.013108655039153847,298.0799999999999,0.00195453197339325,1.1178e-05
33,13.89,26.999999999999996,2024-04-17 21:07:50.022903,2024-04-17 21:07:51.011263,0 days 00:00:00.988360,0.0026999999999999997,0.0001,0.010669560000000002,0.011799835144588872,0.0032872580931538457,0.0034160313216923077,9.590000000000002,2.417674500000001,0.34491121906138456,0.30775616875610523,0,COMPLETE,0.017372849414846153,375.03,0.002058839667919444,1.2501e-05
35,11.83,29.999999999999996,2024-04-17 21:08:50.712834,2024-04-17 21:08:51.614316,0 days 00:00:00.901482,0.0029999999999999996,0.0001,0.009189840000000001,0.010180861704997123,0.002314543777153846,0.002344418879846154,8.260000000000002,2.0851995000000003,0.2542823041268847,0.22424088175457277,0,COMPLETE,0.013848802657000002,354.9,0.0017342979439591748,1.0647e-05
