number,Latency (s),SP size(cm²),datetime_start,datetime_complete,duration,params_area,params_cap_size,user_attrs_Eb,user_attrs_Ec,user_attrs_Er,user_attrs_Ew,user_attrs_Lb,user_attrs_Lc,user_attrs_Lr,user_attrs_Lw,system_attrs_nsga2:generation,state,lat*sp,ckpt_energy,system_efficiency,cap_leakage
50,1.25,8.0,2024-04-17 20:44:44.894168,2024-04-17 20:44:45.448546,0 days 00:00:00.554378,0.0008,1e-06,0.0009345600000000001,0.0001768028017989126,0.0011190492835384616,1.8819859384615388e-05,0.8400000000000001,0.03582,0.16547548578600005,0.002411637981820982,1,COMPLETE,10.0,0.002072429142923077,0.0007857902302173894,1.125e-08
46,1.28,8.0,2024-04-17 20:45:44.683482,2024-04-17 20:45:45.154175,0 days 00:00:00.470693,0.0008,3.162277660168379e-06,0.0008566800000000001,0.00022822429069909722,0.0011735427606923078,2.2935605999999997e-05,0.7700000000000001,0.04638,0.17352610960150003,0.002992612740263985,0,COMPLETE,10.24,0.002053158366692308,0.0009905568172703873,3.642943864513973e-08
53,1.28,8.0,2024-04-17 20:46:49.908377,2024-04-17 20:46:50.393706,0 days 00:00:00.485329,0.0008,1e-05,0.0007788000000000001,0.00025393503514918955,0.0011977196837692308,2.4651765999999997e-05,0.7000000000000001,0.05166,0.17711010960150003,0.003248616059253181,1,COMPLETE,10.24,0.002001171449769231,0.0011021485900572464,1.1520000000000001e-07
30,1.11,8.0,2024-04-17 20:47:32.591718,2024-04-17 20:47:32.989504,0 days 00:00:00.397786,0.0008,3.1622776601683795e-05,0.0008566800000000001,0.0001768028017989126,0.0011163656525384614,1.8136432769230768e-05,0.7700000000000001,0.03582,0.16510486197050003,0.002342669861356371,0,COMPLETE,8.88,0.0019911820853076925,0.0008848989079024653,3.159115382508211e-07
50,1.05,8.0,2024-04-17 20:48:41.184953,2024-04-17 20:48:41.714169,0 days 00:00:00.529216,0.0008,0.00010000000000000002,0.0007009200000000001,0.0001768028017989126,0.0011092703905384615,1.6769579538461537e-05,0.6300000000000001,0.03582,0.16410761433950002,0.0022047336204271493,1,COMPLETE,8.4,0.001826959970076923,0.0009354645597826063,9.450000000000003e-07
50,1.34,8.0,2024-04-17 20:49:37.470368,2024-04-17 20:49:38.031487,0 days 00:00:00.561119,0.0008,0.000316227766016838,0.0007009200000000001,0.0001768028017989126,0.0011041133905384617,1.6769579538461537e-05,0.6300000000000001,0.03582,0.16334361433950004,0.0022047336204271493,1,COMPLETE,10.72,0.0018218029700769233,0.0007330132744565199,3.8137068581630662e-06
65,2.16,8.0,2024-04-17 20:50:42.458989,2024-04-17 20:50:42.918950,0 days 00:00:00.459961,0.0008,0.0010000000000000002,0.00038940000000000003,0.00022822429069909722,0.0011495733436923076,1.8151619692307695e-05,0.35000000000000003,0.04638,0.17016374289300004,0.0025098358970117086,1,COMPLETE,17.28,0.0015571249633846154,0.0005869966324565257,1.9440000000000007e-05
72,5.73,8.0,2024-04-17 20:51:43.173540,2024-04-17 20:51:43.685777,0 days 00:00:00.512237,0.0008,0.0031622776601683803,0.00046728000000000004,0.00022822429069909722,0.0011522569746923077,1.883504630769231e-05,0.42000000000000004,0.04638,0.17053436670850006,0.0025788040174763195,1,COMPLETE,45.84,0.001638372021,0.00022127621747052278,0.0001630786589348834
30,21.55,8.0,2024-04-17 20:52:21.070690,2024-04-17 20:52:21.761408,0 days 00:00:00.690718,0.0008,0.010000000000000004,0.00046728000000000004,0.00022822429069909722,0.0011539849746923076,1.883504630769231e-05,0.42000000000000004,0.04638,0.17079036670850004,0.0025788040174763195,0,COMPLETE,172.4,0.001640100021,5.883585735991164e-05,0.0019395000000000007
