number,Latency (s),SP size(cm²),datetime_start,datetime_complete,duration,params_area,params_cap_size,user_attrs_Eb,user_attrs_Ec,user_attrs_Er,user_attrs_Ew,user_attrs_Lb,user_attrs_Lc,user_attrs_Lr,user_attrs_Lw,system_attrs_nsga2:generation,state,lat*sp,ckpt_energy,system_efficiency,cap_leakage
25,21.9,8.0,2024-04-17 20:44:51.273337,2024-04-17 20:44:52.323193,0 days 00:00:01.049856,0.0008,1e-06,0.01658844,0.011003605527400076,0.002925653473923077,0.0022256323746153847,14.910000000000002,2.2541595000000005,0.35588445323288465,0.22295460429716132,0,COMPLETE,175.2,0.021739725848538463,0.002791376338762069,1.9709999999999996e-07
40,18.78,8.0,2024-04-17 20:47:19.129746,2024-04-17 20:47:20.116966,0 days 00:00:00.987220,0.0008,3.162277660168379e-06,0.015186600000000003,0.010043469914341942,0.0024280225897692306,0.0018405666595384617,13.650000000000002,2.056984500000001,0.29966053886238464,0.1903555405958469,0,COMPLETE,150.24,0.019455189249307697,0.0029710891948710036,5.344881701216594e-07
57,19.45,8.0,2024-04-17 20:49:52.489652,2024-04-17 20:49:53.664801,0 days 00:00:01.175149,0.0008,1e-05,0.012694440000000001,0.013586731883870289,0.0029714655023461538,0.0023871764444615383,11.410000000000002,2.7846345,0.36282832467938464,0.24705909616560084,1,COMPLETE,155.6,0.018053081946807693,0.0038808145912225906,1.7505000000000002e-06
49,19.21,8.0,2024-04-17 20:51:53.710562,2024-04-17 20:51:55.129720,0 days 00:00:01.419158,0.0008,3.1622776601683795e-05,0.01658844,0.009216708788118661,0.0031515515152307693,0.002934592782615385,14.910000000000002,1.8871995000000001,0.3428468662848846,0.26210808490103604,0,COMPLETE,153.68,0.022674584297846155,0.002665483483173885,5.467261846665112e-06
7,19.18,8.0,2024-04-17 20:53:08.923686,2024-04-17 20:53:10.082749,0 days 00:00:01.159063,0.0008,0.00010000000000000002,0.015576000000000001,0.010180861704997123,0.0025005401652307695,0.0019660284140000004,14.000000000000002,2.0851995000000003,0.30392755495888457,0.19981928775827879,0,COMPLETE,153.44,0.02004256857923077,0.002948922982562022,1.7262000000000002e-05
54,17.98,8.0,2024-04-17 20:57:19.185920,2024-04-17 20:57:20.704517,0 days 00:00:01.518597,0.0008,0.000316227766016838,0.014018400000000002,0.010180861704997123,0.0023938360629230772,0.0018832081310769233,12.600000000000001,2.0851995000000003,0.2925469204123846,0.19370319526356553,1,COMPLETE,143.84,0.018295444194000005,0.003145736529785293,5.117197709684473e-05
42,16.02,8.0,2024-04-17 20:59:51.655894,2024-04-17 20:59:53.055018,0 days 00:00:01.399124,0.0008,0.0010000000000000002,0.010981080000000002,0.009224743395759315,0.002209345194461538,0.0020680830626153847,9.870000000000001,1.8888495000000003,0.2508242340298847,0.20048194268750463,0,COMPLETE,128.16,0.015258508257076926,0.0031990371049241623,0.00014418000000000005
40,19.84,8.0,2024-04-17 21:02:09.888971,2024-04-17 21:02:11.038765,0 days 00:00:01.149794,0.0008,0.0031622776601683803,0.0093456,0.012357436914850249,0.0024908867530769228,0.0024921896964615387,8.400000000000002,2.532184500000001,0.2803489279423847,0.24623646749207467,0,COMPLETE,158.72,0.014328676449538462,0.0034603037956009875,0.0005646562989996659
16,34.56,8.0,2024-04-17 21:05:10.160972,2024-04-17 21:05:11.512484,0 days 00:00:01.351512,0.0008,0.010000000000000004,0.009034080000000002,0.010188896312637776,0.001854062906423077,0.0017656865841538464,8.120000000000001,2.0868495000000005,0.21838184745988465,0.1841231509825197,0,COMPLETE,276.48,0.012653829490576925,0.0016378755646601364,0.0031104000000000014
